human	alligator	turtle	ostrich	tinamou	chicken	duck	turkey	mesite	sandgrouse	pigeon	grebe	flamingo	swift	hummingbird	nightjar	cuckoo	bustard	turaco	plover	crane	hoatzin	pelican	egret	ibis	cormorant	fulmar	adelie_penquin	emperor_penquin	loon	sunbittern	tropicbird	ground_finch	zebrafinch	crow	manakin	rifleman	kea	budgerigar	falcon	seriema	bald_eagle	white_tailed_eagle	vulture	owl	mousebird	cuckoo_roller	trogon	hornbill	bee_eater	woodpecker	family
117	56	49	14	23	36	26	17	27	15	28	11	7	15	19	14	18	12	25	18	9	24	12	15	14	11	15	17	20	13	13	13	24	27	29	24	20	17	16	18	15	16	10	13	7	15	12	627	16	14	29	Ala
41	76	46	18	18	19	18	12	13	6	20	7	6	9	17	10	14	10	10	14	5	10	9	14	17	7	11	11	16	5	9	8	14	14	12	10	7	5	13	13	8	11	6	8	6	8	11	10	5	6	16	Arg
33	15	19	3	7	13	10	5	11	10	7	6	6	5	5	6	11	14	12	8	8	6	10	7	9	13	6	8	10	5	5	4	7	9	10	13	4	6	8	9	8	8	7	5	2	5	7	12	5	5	10	Asn
18	25	26	5	7	10	7	3	28	3	8	3	1	6	3	4	10	3	2	4	2	2	1	1	4	1	1	3	6	1	1	1	4	7	11	3	4	2	9	8	1	4	1	1	0	3	2	19	3	2	10	Asp
31	32	23	6	16	11	13	6	6	9	10	4	10	10	5	11	14	7	8	11	5	12	10	9	9	2	5	7	9	6	4	5	11	2	16	8	5	8	5	12	0	6	1	0	7	9	3	10	6	5	9	Cys
48	58	39	7	14	8	7	2	2	5	11	3	7	13	8	7	7	6	6	5	3	5	7	6	6	7	3	6	5	4	4	8	11	7	8	12	6	5	5	7	4	7	4	3	4	7	5	6	4	2	8	Gln
30	19	25	10	19	16	16	11	7	9	12	5	5	8	8	7	13	7	10	11	5	9	9	15	14	6	7	12	10	7	5	8	10	5	8	283	6	6	4	10	8	7	6	6	2	8	6	10	7	7	14	Glu
32	91	41	12	23	20	20	14	29	10	19	9	6	12	13	7	22	10	17	14	5	12	9	11	16	5	5	10	10	4	10	11	18	19	17	23	16	9	18	16	6	16	9	8	3	12	10	32	8	10	20	Gly
10	18	14	2	7	7	10	3	3	6	7	5	5	8	4	4	5	3	2	6	5	3	3	4	7	3	5	5	6	3	4	3	4	5	3	3	4	6	4	6	5	4	3	2	1	3	3	4	5	4	6	His
23	46	35	11	10	9	7	4	5	5	9	3	1	4	11	2	7	5	7	4	2	4	237	5	7	1	2	3	8	2	1	4	46	39	91	209	3	5	6	8	4	6	3	0	0	4	4	1041	2	3	11	Ile
66	57	68	12	17	18	18	10	14	9	19	12	6	14	11	14	15	11	18	12	8	11	14	13	16	3	9	8	10	4	9	10	24	16	13	14	9	10	15	17	9	16	11	8	6	14	7	57	10	8	20	Leu
47	59	58	7	9	12	12	7	9	4	10	8	9	20	12	10	12	5	11	7	13	14	7	11	16	5	4	9	9	4	5	12	12	9	14	10	5	9	15	11	5	17	11	7	7	6	4	14	5	7	29	Lys
30	18	24	7	12	16	11	12	6	9	13	3	2	14	10	12	9	5	10	7	5	6	6	7	6	3	3	2	3	3	4	4	9	5	8	8	5	5	9	10	7	6	2	3	4	9	7	17	2	5	11	Met
45	20	27	2	9	10	13	7	5	3	7	4	3	7	4	4	7	7	6	4	3	7	3	7	6	6	4	3	4	4	6	4	9	11	11	10	4	6	6	5	4	6	6	4	6	6	4	56	2	3	10	Phe
21	41	72	13	21	14	19	10	13	8	15	4	1	14	12	6	14	5	12	14	3	10	9	14	14	4	8	10	11	5	1	3	17	10	8	5	5	8	8	16	9	11	3	7	2	3	4	16	11	2	16	Pro
80	377	1283	1	9	4	8	6	10	11	6	9	3	17	21	18	23	8	17	10	10	5	1186	9	21	6	5	6	12	7	14	12	79	84	139	278	6	11	10	11	7	35	6	8	7	6	4	2679	8	9	51	Pseudo
1	11	4	0	0	0	0	0	0	0	0	1	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	SeC
2	4	4	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	2	SeC(e)
29	58	83	14	25	24	20	18	13	10	16	7	4	12	15	17	19	7	17	12	5	10	11	10	15	8	4	12	16	8	9	7	13	10	18	18	8	6	18	19	9	14	3	7	2	18	16	50	6	4	25	Ser
2	2	4	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	Sup
25	77	43	7	10	11	10	7	9	4	9	8	4	9	11	7	7	4	6	6	3	5	8	5	9	5	5	6	6	4	4	2	16	25	14	23	6	5	7	9	5	6	2	5	2	8	4	80	3	3	8	Thr
7	12	13	4	8	6	3	5	4	3	7	3	3	5	3	5	5	3	2	4	2	3	3	5	6	3	2	4	6	2	3	3	3	3	3	3	3	2	4	4	4	3	3	2	2	4	4	5	3	2	5	Trp
16	23	10	2	9	16	4	6	6	3	14	3	2	9	8	5	7	2	8	3	3	3	1	4	5	2	3	3	3	2	2	5	13	13	11	16	11	2	5	3	1	5	1	1	4	5	4	6	2	7	9	Tyr
8	13	14	1	2	1	1	4	1	1	1	1	3	1	1	1	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	2	3	2	1	2	1	2	1	1	1	4	1	1	1	1	1	21	0	1	2	Undet
38	24	62	17	22	18	16	9	13	10	16	7	10	9	12	9	15	13	11	12	11	8	18	17	19	4	7	9	13	5	8	13	15	12	12	13	8	9	9	11	12	15	6	2	3	7	7	2251	5	11	12	Val
