Homo_sapiens	human
Alligator_mississippiensis	alligator
Chelonia_mydas	turtle
Struthio_camelus	ostrich	STRCA
Tinamus_guttatus	tinamou	TINMA
Gallus_gallus	chicken	GALGA
Anas_platyrhynchos	duck	ANAPL
Meleagris_gallopavo	turkey		MELGA
Mesitornis_unicolor	mesite	MESUN
Pterocles_guturalis	sandgrouse	PTEGU
Columba_livia	pigeon		COLLI
Podiceps_cristatus	grebe	PODCR
Phoenicopterus_ruber	flamingo	PHORU
Chaetura_pelagica	swift		CHAPE
Calypte_anna	hummingbird		CALAN
Antrostomus_carolinensis	nightjar	CAPCA
Cuculus_canorus	cuckoo			CUCCA
Chlamydotis_undulata	bustard		CHLUN
Tauraco_erythrolophus	turaco		TAUER
Charadrius_vociferus	plover		CHAVO
Balearica_regulorum	crane		BALRE
Opisthocomus_hoazin	hoatzin		OPHHO
Pelecanus_crispus	pelican		PELCR
Egretta_garzetta	egret		EGRGA
Nipponia_nippon	ibis			NIPNI
Phalacrocorax_carbo	cormorant		PHACA
Fulmarus_glacialis	fulmar		FULGL
Pygoscelis_adeliae	adelie_penquin	PYGAD
Aptenodytes_forsteri	emperor_penquin	APTFO
Gavia_stellata	loon			GAVST
Eurypyga_helias	sunbittern			EURHE
Phaethon_lepturus	tropicbird		PHALE
Geospiza_fortis	ground_finch		GEOFO
Taeniopygia_guttata	zebrafinch		TAEGU
Corvus_brachyrhynchos	crow		CORBR
Manacus_vitellinus	manakin		MANVI
Acanthisitta_chloris	rifleman		ACACH
Nestor_notabilis	kea			NESNO
Melopsittacus_undulatus	budgerigar		MELUN
Falco_peregrinus	falcon		FALPE
Cariama_cristata	seriema		CARCR
Haliaeetus_leucocephalus	bald_eagle	HALLE
Haliaeetus_albicilla	white_tailed_eagle	HALAL
Cathartes_aura	vulture			CATAU
Tyto_alba	owl	TYTAL
Colius_striatus	mousebird	COLST
Leptosomus_discolor	cuckoo_roller	LEPDI
Apaloderma_vittatum	trogon		APAVI
Buceros_rhinoceros	hornbill		BUCRH
Merops_nubicus	bee_eater			MERNU
Picoides_pubescens	woodpecker		PICPU
