human	alligator	turtle	ostrich	tinamou	chicken	duck	turkey	mesite	sandgrouse	pigeon	grebe	flamingo	swift	hummingbird	nightjar	cuckoo	bustard	turaco	plover	crane	hoatzin	pelican	egret	ibis	cormorant	fulmar	adelie_penquin	emperor_penquin	loon	sunbittern	tropicbird	ground_finch	zebrafinch	crow	manakin	rifleman	kea	budgerigar	falcon	seriema	bald_eagle	white_tailed_eagle	vulture	owl	mousebird	cuckoo_roller	trogon	hornbill	bee_eater	woodpecker	family
3	2	3	1	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	snoR38
6	3	2	2	1	0	1	0	1	1	2	1	1	1	3	2	1	1	2	2	1	1	2	2	1	0	1	1	2	1	1	1	2	1	2	1	1	1	1	2	1	2	1	1	1	1	1	0	0	1	1	SNORA2
7	3	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	SNORA3
5	1	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	SNORA4
4	4	6	2	2	4	1	4	1	1	1	0	2	1	2	3	2	0	0	3	0	0	1	2	2	1	2	3	3	5	1	1	0	0	0	0	0	3	3	2	2	4	2	4	2	1	0	1	0	1	2	SNORA5
7	0	1	1	0	1	1	1	1	1	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	SNORA7
5	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	SNORA8
5	2	3	2	0	1	1	1	1	3	2	1	0	0	0	0	1	0	0	3	1	1	0	0	1	0	0	0	0	0	1	1	0	2	0	3	0	1	1	2	0	2	0	0	0	3	1	1	0	0	2	SNORA9
1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	SNORA13
4	1	2	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	2	1	1	0	0	1	0	0	1	1	1	1	0	1	0	0	2	0	1	SNORA16
1	2	3	2	1	1	2	1	1	1	1	0	1	0	1	2	1	1	1	2	1	1	1	1	1	0	1	1	2	1	2	2	1	1	1	2	1	1	1	2	2	1	1	2	1	2	2	2	1	1	1	SNORA21
11	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	SNORA26
5	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	SNORA27
1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	SNORA28
7	1	1	1	3	1	3	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	SNORA36
2	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	SNORA44
2	1	2	2	2	2	2	1	2	2	2	1	2	1	2	2	2	2	2	3	2	1	1	2	2	1	1	1	2	1	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	1	2	1	1	1	2	SNORA50
1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	SNORA52
1	1	1	0	0	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	SNORA56
3	0	0	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	3	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	SNORA58
8	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	1	2	SNORA62
7	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SNORA64
1	2	2	2	1	2	2	2	1	1	1	0	1	1	1	0	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	1	2	1	3	1	0	1	SNORA65
2	1	1	1	1	2	1	0	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	2	1	0	1	1	1	1	2	2	1	1	1	1	1	2	SNORA66
2	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	2	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	SNORA69
8	3	2	2	2	1	1	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	SNORA74
3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	SNORD2
3	3	3	3	3	4	6	4	4	3	2	3	2	3	3	1	3	3	2	4	3	3	1	3	5	2	3	3	4	3	2	2	2	2	2	3	1	5	3	2	3	2	2	3	3	2	3	2	2	1	3	SNORD12
6	5	5	4	4	3	3	3	3	3	2	3	3	4	4	3	3	4	3	3	3	4	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	SNORD14
2	3	4	3	3	3	5	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	2	3	3	3	2	3	3	3	3	2	2	2	2	2	3	3	3	3	3	3	3	3	4	3	2	2	3	3	SNORD15
1	1	2	2	2	2	3	2	2	2	2	2	2	2	1	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	SNORD16
