"";"adipose";"adrenal_gland";"breast_muscle";"cerebellum";"cerebrum";"gonad";"heart";"hypothalamus";"kidney";"liver";"lung";"lunng";"parietal_nerve";"proventriculus";"spleen"
"chr1_290088_ID=mir-6708_1";1,26666666666667;0,2;0,4;1,06666666666667;1,2;0,466666666666667;0,733333333333333;1;0,666666666666667;0,6;2,46666666666667;0,8;1,53333333333333;0,533333333333333;0,866666666666667
"chr1_314579_ID=mir-1604_1";2,53333333333333;1,66666666666667;1,33333333333333;1,6;1,2;1,46666666666667;2,06666666666667;1;2,2;1,86666666666667;2,46666666666667;1,8;1,53333333333333;2,2;2,93333333333333
"chr1_505088_ID=mir-1651_1";10,4666666666667;5,73333333333333;15,7333333333333;4,53333333333333;4,2;2,13333333333333;2,06666666666667;3,86666666666667;8,46666666666667;8,2;5,86666666666667;11,3333333333333;3,66666666666667;8,46666666666667;35,1333333333333
"chr1_795101_ID=mir-182_1";609,066666666667;390,8;504,866666666667;652,466666666667;707,333333333333;188,333333333333;554,4;60476,6666666667;228,666666666667;251,466666666667;1455,86666666667;1368,13333333333;7511,26666666667;205,2;617,533333333333
"chr1_796112_ID=mir-96_1";6,13333333333333;4,26666666666667;3,33333333333333;4,53333333333333;6,33333333333333;6,86666666666667;8,93333333333333;108,8;6,73333333333333;5,8;11,2666666666667;16,8666666666667;11;5,86666666666667;15,4666666666667
"chr1_796227_ID=mir-183_1";75,2;35,5333333333333;33;143,8;390,8;65,0666666666667;87,9333333333333;11560,5333333333;71;48,3333333333333;193,266666666667;251,466666666667;813,866666666667;71;150,2
"chr1_858538_ID=mir-6676_1";0,133333333333333;0,2;0,4;1,06666666666667;0,333333333333333;0,466666666666667;0,733333333333333;1;0,666666666666667;0,6;0,933333333333333;0,8;0,266666666666667;0,533333333333333;0,866666666666667
"chr1_868652_ID=mir-6629_1";1,26666666666667;1,13333333333333;2,33333333333333;1,6;1,2;1,46666666666667;0,733333333333333;1;2,2;0,6;0,933333333333333;0,733333333333333;1,53333333333333;0,533333333333333;2,86666666666667
"chr1_1223726_ID=mir-205_1";1,26666666666667;4,2;1,33333333333333;3;5,13333333333333;14,2;0,733333333333333;3,2;3,66666666666667;0,6;4,53333333333333;1,8;3,66666666666667;2,2;5,2
"chr1_1291500_ID=RF01063.1";0,133333333333333;1,13333333333333;0,4;0;0,333333333333333;0,466666666666667;0,666666666666667;1;0,666666666666667;1,86666666666667;0,933333333333333;0,733333333333333;1,53333333333333;0,533333333333333;0,866666666666667
"chr1_1678308_ID=mir-6659_1";0,133333333333333;1,13333333333333;1,33333333333333;0;1,2;1,46666666666667;0,666666666666667;1;0,666666666666667;0,6;0,933333333333333;0,733333333333333;0,266666666666667;2,2;0,866666666666667
"chr1_2622379_ID=mir-6621_1";1,26666666666667;1,66666666666667;1,26666666666667;1,53333333333333;6,2;0,466666666666667;0,666666666666667;3,13333333333333;0,666666666666667;4,06666666666667;0,933333333333333;0,733333333333333;1,53333333333333;0,533333333333333;0,866666666666667
