human	alligator	turtle	ostrich	tinamou	chicken	duck	turkey	mesite	sandgrouse	pigeon	grebe	flamingo	swift	hummingbird	nightjar	cuckoo	bustard	turaco	plover	crane	hoatzin	pelican	egret	ibis	cormorant	fulmar	adelie_penquin	emperor_penquin	loon	sunbittern	tropicbird	ground_finch	zebrafinch	crow	manakin	rifleman	kea	budgerigar	falcon	seriema	bald_eagle	white_tailed_eagle	vulture	owl	mousebird	cuckoo_roller	trogon	hornbill	bee_eater	woodpecker	family
6	11	0	1	1	2	2	0	4	1	3	1	0	4	2	2	1	0	2	3	1	0	2	1	2	1	1	1	1	2	1	0	2	1	1	1	1	1	1	0	0	48	1	1	0	2	0	0	1	0	1	5_8S_rRNA
601	66	33	2	6	20	3	10	7	2	115	4	6	9	6	12	7	4	5	6	3	7	5	5	5	4	8	5	9	7	8	7	3	48	5	7	6	14	20	1	8	39	2	5	5	6	3	9	3	3	11	5S_rRNA
316	4	6	2	11	9	7	9	13	6	20	10	7	5	3	12	12	6	7	8	2	12	5	7	3	7	3	4	3	12	8	10	5	6	5	5	10	21	29	2	4	2	2	2	1	10	5	12	6	3	15	7SK
941	10	16	3	2	4	5	3	4	1	3	2	4	2	2	3	3	3	3	4	1	2	4	5	4	2	2	5	4	2	1	2	2	0	3	3	1	5	3	3	2	4	2	0	2	3	3	1	1	2	2	Metazoa_SRP
1	2	1	0	0	1	0	0	1	1	1	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	RNase_MRP
3	7	9	0	1	1	1	0	0	1	0	0	0	0	1	2	0	1	1	1	1	0	0	0	1	0	0	0	1	0	1	1	1	2	0	0	1	1	1	2	0	2	1	1	0	1	2	0	1	0	2	RNaseP_nuc
1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	Telomerase-vert
148	319	55	37	7	23	20	21	18	16	14	23	28	9	19	24	24	15	20	17	19	26	28	25	23	23	21	33	30	27	24	22	8	9	12	10	6	18	34	18	24	27	20	34	17	18	18	15	13	13	26	U1
91	43	56	11	8	6	13	7	9	7	9	13	12	8	15	8	12	9	6	8	9	12	11	12	13	8	7	7	12	9	16	8	6	7	9	9	10	9	10	7	8	9	8	10	4	11	4	7	6	7	12	U2
104	74	15	4	6	5	3	1	2	3	4	5	2	5	1	3	3	3	2	5	3	4	3	2	3	0	1	2	2	4	2	5	2	1	2	4	3	2	3	3	1	2	1	2	4	2	1	2	1	1	4	U4
33	24	26	3	4	8	5	2	5	1	9	2	3	2	5	5	9	1	2	2	5	4	3	7	5	5	1	4	4	4	4	4	9	7	7	6	2	2	3	4	3	1	2	2	1	2	3	3	1	0	7	U5
1371	76	77	11	10	26	14	27	10	9	9	12	10	11	11	12	18	13	14	10	10	16	9	14	15	10	13	16	16	16	11	17	7	4	8	9	7	11	15	10	11	11	9	14	18	16	7	16	7	17	29	U6
5	1	1	0	0	2	1	1	0	0	1	0	1	0	0	0	1	0	0	2	0	1	0	0	1	0	0	2	2	0	2	0	0	1	1	0	1	0	1	1	0	2	1	0	0	0	1	0	0	0	1	U11
2	1	1	0	1	1	1	1	1	2	1	1	1	1	2	1	0	2	1	1	1	0	0	1	1	1	0	2	1	2	1	1	1	2	1	2	1	2	1	1	3	1	0	1	1	1	1	1	1	1	1	U12
18	1	1	0	1	2	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	U4atac
40	4	14	1	1	4	1	4	3	3	2	3	3	3	6	3	1	2	6	4	3	2	5	3	3	2	3	3	4	2	3	3	2	2	2	2	3	2	6	3	3	2	1	3	1	6	2	5	7	2	9	U6atac
9	0	4	1	0	2	1	1	1	0	0	0	1	2	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Vault
892	6	6	3	3	3	5	3	3	2	2	2	3	3	3	3	3	3	4	3	4	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	3	3	3	3	3	4	4	2	2	3	3	7	4	4	3	Y_RNA
80	377	1283	1	9	4	8	6	10	11	6	9	3	17	21	18	23	8	17	10	10	5	1186	9	21	6	5	6	12	7	14	12	79	84	139	278	6	11	10	11	7	35	6	8	7	6	4	2679	8	9	51	tRNA-pseudogene
1084	859	809	174	303	300	263	173	226	145	259	118	105	209	197	165	237	143	206	180	109	166	392	181	217	102	110	151	186	94	109	134	287	251	323	717	145	135	186	214	126	191	101	95	77	160	127	4349	111	112	285	tRNA
1	11	4	0	0	0	0	0	0	0	0	1	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	SeC
2	4	4	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	2	SeC(e)
